,City,City Id,Country,Latitude,Longitude,Max_Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
380,casper,5820705,US,42.87,-106.31,7.22,65,90,2.1
381,manggar,1636426,ID,-2.88,108.27,28.64,99,48,2.26
382,pochutla,3517970,MX,15.74,-96.47,23.33,88,12,4.01
383,vestmannaeyjar,3412093,IS,63.44,-20.27,2.59,97,32,13.81
384,ballina,2966778,IE,54.11,-9.15,7.22,79,44,2.24
385,ust-nera,2120048,RU,64.57,143.24,-11.37,71,0,1.21
386,hofn,2630299,IS,64.25,-15.21,3.59,100,0,9.16
387,samarai,2132606,PG,-10.62,150.67,26.44,100,92,4.01
388,kosh-agach,1502422,RU,49.99,88.66,-6.22,42,0,1.76
389,betafo,1066514,MG,-19.84,46.86,13.29,90,56,2.01
390,talnakh,1490256,RU,69.49,88.39,-12.82,83,76,3.21
391,cabo san lucas,3985710,MX,22.89,-109.91,21.0,77,5,1.0
392,meridian,4435764,US,32.36,-88.7,16.0,62,1,2.06
393,otradnoye,513898,RU,59.77,30.8,3.33,86,0,3.0
394,chumikan,2025256,RU,54.72,135.31,-4.47,54,0,3.66
